Scheme Name,Ministries/Departments,Description & Benefits,Tags
Dr. B.R. Ambedkar Awas Navinikarn Yojna,Haryana,"The main purpose of this scheme is to provide grant for the repair of house to all families living under below poverty line, whose house needs repair. An amount of Rs. 80,000/- is provided for this purpose. Only on-line applications on https://saralharyana.gov.in/ are accepted under this scheme.","Awas, Backward Classes, Below Poverty Line, Haryana Domicile, Scheduled Caste"
Prime Minister's Employment Generation Programme,"Ministry Of Micro, Small and Medium Enterprises","Launched in August 2008, Prime Minister's Employment Generation Programme (PMEGP) is a credit-linked subsidy scheme, administered by the Ministry of Micro, Small and Medium Enterprises (MSME). PMEGP aims to generate employment opportunities through the establishment of micro-enterprises in","Entrepreneur, Financial Assistance, Loan, Micro Enterprises, Projects"
Karkhandar Scheme For Development Of Craft Sector,Jammu and Kashmir,"A training and skilling upgradation scheme by the Dept. of Industries & Commerce and implemented by the Directorate of Handicraft & Handloom, Govt. of Jammu & Kashmir wherein passout meritorious trainees and ex-trainees from departmental training centers are are provided skill upgradation training.","Employment, Entrepreneur, Skill, Training"
The Artist Welfare Fund Of Assam,Assam,"The scheme ""The Artist Welfare Fund of Assam"" is a scheme of financial asssistance by the Assam State Film (Finance and Development) Corporation, Department of Cultural Affairs, Govt. of Assam. The scheme extednds to the whole of Assam.","Accident, Artist, Culture, Education, Financial Asisstance, Medical Aid"
YSR Jala Kala,Andhra Pradesh,"""YSR Jala Kala"" is a scheme by the Dept. of Rural Development, Govt. of Andhra Pradesh. In this program, bore wells are drilled free of cost to the needy and eligible farmers. This shall help in optimally utilizing groundwater resources for the purpose of irrigating every acre of arable land.","Agriculture, Farmer"
Contributory Social Security Scheme,Jammu and Kashmir,"The ""Contributory Social Security Scheme (CSSS)"" intends to provide social security to marginal workers on a contributory basis. The duration of the scheme shall be for a period of 5 years, or 10 years. The amount will be deposited in a bank account opened for the beneficiary.","Insurance, Pension, Social Security, Social Welfare"
State Programme For Rehabilitation Of Persons With Disabilities,Arunachal Pradesh,The scheme “State Programme for Rehabilitation of Persons with Disabilities” is a state sector ongoing scheme implemented for the welfare and providing rehabilitation services to disabled persons of the state under the Person with Disabilities Act 1995.,"100% Disability, Aids, Rehabilitation, Social Welfare"
Vivah Sahayata Yojana,Jharkhand,"""Vivah Sahayata Yojana"" is a scheme by the Department of Labour, Employment, Training & Skill Development Govt of Jharkhand. The scheme provides financial assistance of ₹ 30,000/- (Rupees Thirty Thousand Only) rupees for the marriage of two children / female members of the family.","Financial Assistance, Marriage, Social Welfare"
Biponi Scheme,Assam,"The objective of the scheme is to support to the Micro & Small enterprises to participate in different trade fairs and events within the State, in the Country and abroad for marketing of their products and also getting the exposure.","Biponi, Business, Entrepreneurship, Micro"
Mukhya Mantri Mahila Kisan Sashaktikaran Yojana,Gujarat,Mukhya Mantri Mahila Kisan Sashaktikaran Yojana (MMKSY) is a scheme launched by the Government of Gujarat to empower women farmers in the state. The scheme was announced in the 2018-19 budget and is being implemented by the Department of Agriculture and Co-operation.,"Kisan, Mahila, Mukhya Mantri, Sashaktikaran Yojana"
Scholarship To 2 Years Pre-Service Student Teachers Undergoing D.El.Ed Programme At DIETs And CTTC Sohra,Meghalaya,"The scheme “Scholarship to 2 Years Pre-Service Student Teachers undergoing D.El.Ed Programme at DIETs and CTTC Sohra” was launched by the Dept. of Education, Govt. of Meghalaya in 2012. The scheme offers a scholarship of ₹5000 p.m. for 2 years (10 months per year) to attract the state's best talent.","Education, Scholarship, Student, Teacher, Teaching"
Zero Budget Natural Farming,Rajasthan,"The Rajasthan State government started a scheme ""Zero Budget Natual Farming"" in 2020-21 to promote  natural farming.","Agriculture, Farmer, Low Cost Fartming, Training"
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Supply of Baby Pulpers,Ministry Of Commerce And Industry,"The scheme ""Supply of Baby Pulpers"" aims to facilitate the improvement of the quality of coffee produced by growers by encouraging them to establish infrastructure for quality enhancement and obtain certification for their coffees, enabling them to earn better returns.","Agriculture, DBT, Farmer, Subsidy"
Internship Scheme For PG/Research Students In Directorate General Of Trade Remedies (DGTR),Ministry Of Commerce And Industry,"The Internship Scheme by the Directorate General of Trade Remedies (DGTR) provides opportunities for young scholars, especially from Law / Economics stream, interested in learning about trade remedial investigations.","Commerce, Internship, Internship, Postgraduation, Research, Trade"
Scheme for Margin Money Grant to Nano Units,Kerala,"The scheme “Margin Money Grant to Nano Units” is a loan-linked scheme operated by Directorate of Industries & Commerce, Govt. of Kerala. The scheme aims to provide financial assistance to Nano units in the State, engaged in manufacturing,job work & service activity having any type of value addition.","Enterprise, Entrepreneur, Financial Assistance, Margin Money, Nano Unit"
Dr. B.R. Ambedkar Memorial Award to Scheduled Caste Students,Puducherry,"""Dr. B.R. Ambedkar Memorial Award to Scheduled Caste Students” was introduced by the Adi Dravidar Welfare Dept, Govt of Puducherry, is granted to top ranking boy and girl student in each region (Pondicherry, Karaikal and Yanam) who have secured 55% marks in the Higher Secondary Examination.","Award, Financial Assistance, Scheduled Caste, Students"
Grant of Financial Assistance to Poor Scheduled Caste Pregnant & Lactating Women,Puducherry,"The scheme “Grant of Financial Assistance to Poor Scheduled Caste Pregnant & Lactating Women” was introduced by the Adi Dravidar Welfare Department, Government of Puducherry. The objective of the scheme is to provide assistance for the well-being of Pregnant and Lactating mothers and their children.","Child, Financial Asisstance, Hospital, Infant, Pregnant, Scheduled Caste, Woman"
Grant of House Construction Subsidy to Scheduled Caste People,Puducherry,"The scheme “Grant of House Construction Subsidy to Scheduled Caste People” was introduced by the Adi Dravidar Welfare Dept, Govt of Puducherry. The poor Scheduled Caste people, and other Economically backward class people, who meet the eligibility criteria, are provided house construction subsidy.","Construction, House, Housing, SC, Scheduled Caste, Subsidy"
Distribution of Free House Sites to Scheduled Caste/Other Economically Backward Classes,Puducherry,"Through this scheme, the homeless poor Scheduled Caste people, and other Economically backward class people, who meet the eligibility criteria, are provided housing sites to enable them to construct their own houses. Approximately 11,000 persons so far have benefitted from this scheme.","EBC, Economically Backward Class, House, Housing, SC, Scheduled Caste"
Grant of Mahatma Gandhi Memorial Award for Clean Houses,Puducherry,"“Grant of Mahatma Gandhi Memorial Award for Clean Houses” was introduced by the Adi Dravidar Welfare Dept, Govt of Puducherry. The objective of the scheme is to motivate the Scheduled Caste people to keep their houses neat and tidy. Incentives are in the form of household articles worth ₹500/-.","Clean, Grant, House, Sanitation, Waste"
Financial Assistance for Marriage of Poor Scheduled Caste Brides,Puducherry,"The scheme “Financial Assistance for Marriage of Poor Scheduled Caste Brides” was introduced by the Adi Dravidar Welfare Dept, Govt of Puducherry. The objective of the scheme is to provide financial assistance to poor parents from Scheduled Castes for performing the marriage of their daughters.","Bride, Financial Assistance, Marriage, SC, Scheduled Caste"
Mukhyamantri Vridhjan Pension Yojna,Bihar,"The scheme “Mukhyamantri Vridhjan Pension Yojna” is an old-age pension scheme implemented by the Department of Social Welfare, Government of Bihar to provide financial assistance to elderly citizens. Under the scheme, a monthly pension is given to individuals who are aged 60 years or above.","Financial Assistance, Old Age, Pension, Senior Citizen"
Scheme Of Coaching & Allied For Scheduled Castes,Jharkhand,Scheme Of Coaching & Allied For Scheduled Castes aims to provide support for the betterment of Scheduled Caste (SC) candidates for coaching and pre examination training in quality coaching institutions to enable them to appear in competitive examinations.,"Coaching, Financial Grants, Scheduled Castes, Social Welfare, Stipend"
Pension to the Persons who lost 100% eye sight,Tripura,"“Pension to the Persons Who Lost 100% Eye Sight"" was launched by the Directorate of Social Welfare and Social Education, Government of Tripura. The scheme aims to provide a monthly pension of ₹2,000/- to the differently-abled persons who are 10 years and above in age and have 100% blindness.","Blind, Financial Assistance, Pension"
Mukhyamantri Samajik Sahayata Prakalpa - Vulnerable Women,Tripura,"The scheme “Mukhyamantri Samajik Sahayata Prakalpa- Vulnerable Women"" was launched by the Directorate of Social Welfare and Social Education, Government of Tripura to provide financial assistance to Vulnerable Woman in need of special care, support or protection because of age, disability.","Divorced, Financial Assistance, Pension, Unmarried, Women"
Samagra Samajik Suraksha Vridhavastha Pension Yojana,Madhya Pradesh,"Initiative of the Department of Social Justice and Empowerment of Persons with Disabilities under the Madhya Pradesh started the scheme ""Samagra Samajik Suraksha Vridhavastha Pension Yojana"" for the older age people of the state.","Empower, Financial Assistance, Old Age, Pension"
